Order ID,Order Date,Delivery Date,Delivery Time,Gender,Age Group,City,Product Category,Discount Rate,Customer Type,Return Status,Weather
ORD1029,2025-03-20,2025-03-27,7.0,Male,21-30,Antalya,Electronics,,Returning,0,Rainy
ORD1030,2025-03-08,2025-03-14,6.0,Male,31-40,Ankara,Electronics,30.0,Returning,1,Sunny
ORD1031,2025-04-11,2025-04-14,3.0,Female,31-40,Antalya,Home,0.0,New,0,Sunny
ORD1032,2025-03-12,2025-03-15,3.0,Female,31-40,Izmir,Cosmetics,10.0,Returning,1,Sunny
ORD1033,2025-03-26,2025-03-30,4.0,Female,41-50,Antalya,Clothing,30.0,Returning,0,Rainy
ORD1034,2025-03-14,2025-03-18,4.0,Female,41-50,Bursa,Clothing,30.0,New,1,Rainy
ORD1035,2025-04-13,2025-04-17,4.0,Female,31-40,Istanbul,Books,30.0,Returning,0,Rainy
ORD1036,2025-03-23,2025-03-27,4.0,Female,31-40,Antalya,Books,30.0,New,1,Rainy
ORD1037,2025-03-09,2025-03-15,6.0,Male,31-40,Antalya,Clothing,30.0,New,1,Sunny
ORD1038,2025-03-30,2025-04-05,6.0,Male,31-40,Istanbul,Books,30.0,New,1,Sunny
ORD1039,2025-03-19,2025-03-22,3.0,Female,21-30,Bursa,Home,30.0,New,0,Sunny
ORD1040,2025-03-14,2025-03-19,5.0,Female,21-30,Ankara,Clothing,30.0,Returning,0,Rainy
ORD1041,2025-03-31,2025-04-04,4.0,Female,31-40,Antalya,Books,10.0,Returning,1,Sunny
ORD1042,2025-03-07,2025-03-10,3.0,Female,18-20,Istanbul,Clothing,30.0,Returning,0,Sunny
ORD1043,2025-03-25,2025-03-29,4.0,Female,,Izmir,Cosmetics,20.0,Returning,0,Sunny
ORD1044,2025-04-02,2025-04-07,5.0,Male,31-40,Istanbul,Electronics,0.0,New,1,Sunny
ORD1045,2025-03-12,2025-03-15,3.0,Female,31-40,Izmir,Clothing,10.0,Returning,1,Sunny
ORD1046,2025-03-13,2025-03-19,6.0,Male,21-30,Bursa,Electronics,30.0,Returning,0,Sunny
ORD1047,2025-04-09,2025-04-15,6.0,Male,41-50,Ankara,Books,20.0,Returning,1,Sunny
ORD1048,2025-03-19,2025-03-23,4.0,Female,31-40,Istanbul,Electronics,20.0,New,1,Sunny
ORD1049,2025-03-22,2025-03-27,5.0,Male,21-30,Antalya,Clothing,30.0,Returning,0,Sunny
ORD1050,2025-04-10,2025-04-13,3.0,Female,41-50,Bursa,Cosmetics,10.0,Returning,0,Sunny
ORD1051,2025-04-14,2025-04-17,3.0,Female,31-40,Istanbul,Books,30.0,Returning,0,Rainy
ORD1052,2025-03-09,2025-03-12,3.0,Female,41-50,Antalya,Clothing,30.0,Returning,0,Sunny
ORD1053,2025-03-07,2025-03-12,5.0,Male,31-40,Istanbul,Books,10.0,Returning,0,Sunny
ORD1054,2025-03-11,2025-03-17,6.0,Male,51-60,Izmir,Home,30.0,Returning,0,Rainy
ORD1055,2025-03-09,2025-03-14,5.0,Male,41-50,Istanbul,Electronics,30.0,Returning,0,Sunny
ORD1056,2025-04-03,2025-04-08,5.0,Male,41-50,Istanbul,Home,30.0,New,1,Rainy
ORD1057,2025-03-23,2025-03-29,6.0,Male,41-50,Istanbul,Clothing,30.0,Returning,0,Sunny
ORD1058,2025-03-31,2025-04-05,5.0,Male,21-30,Bursa,Cosmetics,20.0,Returning,0,Sunny
ORD1059,2025-04-08,2025-04-14,6.0,Male,21-30,,Books,0.0,Returning,0,Sunny
ORD1060,2025-03-15,2025-03-20,5.0,Male,41-50,Antalya,Electronics,30.0,New,1,Sunny
ORD1061,2025-04-10,2025-04-12,2.0,Female,31-40,Izmir,Books,0.0,New,0,Sunny
ORD1062,2025-03-19,2025-03-22,3.0,Female,41-50,Izmir,Clothing,30.0,Returning,0,Sunny
ORD1063,2025-04-05,2025-04-10,5.0,Male,21-30,,Books,30.0,New,1,Rainy
ORD1064,2025-03-20,2025-03-22,2.0,Female,31-40,Bursa,Electronics,0.0,Returning,0,Sunny
ORD1065,2025-03-13,2025-03-17,4.0,Female,21-30,Bursa,Clothing,30.0,New,1,Rainy
ORD1066,2025-03-19,2025-03-25,6.0,Male,31-40,Antalya,Books,20.0,New,1,Sunny
ORD1067,2025-03-28,2025-04-01,4.0,Female,31-40,Istanbul,Cosmetics,30.0,Returning,0,Rainy
ORD1068,2025-04-14,2025-04-18,4.0,Female,31-40,Izmir,Clothing,20.0,Returning,0,Sunny
ORD1069,2025-03-26,2025-04-01,6.0,Male,31-40,Bursa,Clothing,20.0,New,1,Sunny
ORD1070,2025-03-21,2025-03-25,4.0,Male,31-40,Istanbul,Cosmetics,0.0,New,1,Sunny
ORD1071,2025-03-23,2025-03-27,4.0,Female,31-40,Bursa,Home,30.0,New,1,Sunny
ORD1072,2025-03-29,2025-04-05,7.0,Male,41-50,Bursa,Electronics,30.0,Returning,0,Rainy
ORD1073,2025-03-31,2025-04-07,7.0,Male,18-20,Izmir,Home,30.0,New,1,Sunny
ORD1074,2025-03-30,2025-04-02,3.0,Female,31-40,Ankara,Books,30.0,Returning,0,Sunny
ORD1075,2025-04-15,2025-04-17,2.0,Female,31-40,Antalya,Cosmetics,0.0,Returning,0,Sunny
ORD1076,2025-04-03,2025-04-09,6.0,Male,41-50,Antalya,Home,30.0,New,1,Sunny
ORD1077,2025-03-20,2025-03-23,3.0,Female,31-40,Izmir,Clothing,30.0,Returning,0,Rainy
ORD1078,2025-03-06,2025-03-11,5.0,Female,41-50,Bursa,Books,30.0,Returning,0,Rainy
ORD1079,2025-03-30,2025-04-03,4.0,Female,51-60,Istanbul,Books,30.0,New,1,Rainy
ORD1080,2025-03-12,2025-03-14,2.0,Female,21-30,Bursa,Home,0.0,Returning,0,Sunny
ORD1081,2025-03-14,2025-03-16,2.0,Female,21-30,Izmir,Home,20.0,Returning,0,Sunny
ORD1082,2025-03-29,2025-04-02,4.0,Female,31-40,Antalya,Cosmetics,,Returning,0,Rainy
ORD1083,2025-03-06,2025-03-08,2.0,Female,,Bursa,Electronics,20.0,Returning,1,Sunny
ORD1084,2025-03-13,2025-03-17,4.0,Female,31-40,Antalya,Home,30.0,Returning,0,Rainy
ORD1085,2025-03-29,2025-04-04,6.0,Male,51-60,,Home,30.0,Returning,0,Rainy
ORD1086,2025-03-16,2025-03-20,4.0,Female,21-30,Antalya,Clothing,30.0,Returning,0,Rainy
ORD1087,2025-03-22,2025-03-28,,Male,21-30,Antalya,Books,30.0,Returning,0,Sunny
ORD1088,2025-03-13,2025-03-17,4.0,Female,21-30,Ankara,Electronics,10.0,Returning,1,Sunny
ORD1089,2025-04-09,2025-04-16,7.0,Male,41-50,Ankara,Clothing,,Returning,0,Rainy
ORD1090,2025-04-09,2025-04-11,2.0,Female,31-40,Ankara,Cosmetics,0.0,New,0,Sunny
ORD1091,2025-04-07,2025-04-09,2.0,Male,21-30,Antalya,Cosmetics,0.0,New,0,Sunny
ORD1092,2025-03-10,2025-03-15,,Male,51-60,Izmir,Home,10.0,New,1,Sunny
ORD1093,2025-04-13,2025-04-17,4.0,Female,41-50,Antalya,Home,30.0,New,1,Rainy
ORD1094,2025-04-15,2025-04-19,4.0,Male,18-20,Izmir,Cosmetics,20.0,New,1,Sunny
ORD1095,2025-04-02,2025-04-04,2.0,Female,31-40,,Home,0.0,Returning,0,Sunny
ORD1096,2025-03-12,2025-03-16,4.0,Female,41-50,Ankara,Electronics,10.0,New,1,Sunny
ORD1097,2025-03-14,2025-03-15,1.0,Female,21-30,,Home,0.0,Returning,0,Sunny
ORD1098,2025-03-13,2025-03-18,5.0,Female,18-20,Istanbul,Books,30.0,New,1,Rainy
ORD1099,2025-03-17,2025-03-20,3.0,Female,18-20,Ankara,Home,30.0,Returning,0,Sunny
ORD1100,2025-04-08,2025-04-11,3.0,Female,21-30,Ankara,Clothing,20.0,Returning,0,Sunny
ORD1101,2025-04-07,2025-04-13,6.0,Male,41-50,Bursa,Electronics,30.0,Returning,0,Rainy
ORD1102,2025-03-28,2025-04-01,4.0,Female,51-60,Istanbul,Clothing,30.0,Returning,0,Rainy
ORD1103,2025-03-29,2025-03-31,2.0,Female,21-30,Antalya,Clothing,30.0,New,0,Sunny
ORD1104,2025-04-11,2025-04-16,5.0,Female,21-30,Antalya,Books,30.0,Returning,1,Rainy
ORD1105,2025-04-09,2025-04-13,4.0,Female,21-30,Ankara,Electronics,30.0,New,1,Sunny
ORD1106,2025-04-14,2025-04-16,2.0,Female,21-30,Istanbul,Electronics,20.0,Returning,0,Sunny
ORD1107,2025-03-27,2025-04-02,6.0,Male,41-50,Ankara,Electronics,30.0,New,1,Rainy
ORD1108,2025-04-01,2025-04-05,4.0,Female,21-30,Izmir,Electronics,30.0,Returning,0,Rainy
ORD1109,2025-04-09,2025-04-13,4.0,Female,21-30,Ankara,Electronics,30.0,Returning,0,Rainy
ORD1110,2025-03-06,2025-03-09,3.0,Female,21-30,Ankara,Books,30.0,New,0,Rainy
ORD1111,2025-04-09,2025-04-12,3.0,Female,31-40,Antalya,Home,10.0,New,0,Sunny
ORD1112,2025-04-11,2025-04-17,6.0,Male,21-30,Antalya,Clothing,20.0,New,1,Sunny
ORD1113,2025-03-19,2025-03-23,,Female,41-50,Antalya,Electronics,30.0,New,1,Rainy
ORD1114,2025-03-08,2025-03-11,3.0,Female,21-30,Izmir,Home,30.0,Returning,0,Sunny
ORD1115,2025-03-06,2025-03-11,5.0,Male,41-50,Antalya,Home,30.0,New,1,Rainy
ORD1116,2025-03-10,2025-03-14,4.0,Female,31-40,Istanbul,Clothing,30.0,New,1,Rainy
ORD1117,2025-03-31,2025-04-06,6.0,Male,21-30,Bursa,Books,30.0,New,1,Rainy
ORD1118,2025-03-19,2025-03-22,3.0,Female,31-40,Istanbul,Cosmetics,20.0,Returning,1,Sunny
ORD1119,2025-04-13,2025-04-17,4.0,Male,41-50,Istanbul,Cosmetics,30.0,New,1,Sunny
ORD1120,2025-04-01,2025-04-05,4.0,Female,51-60,Antalya,Home,10.0,New,1,Sunny
ORD1121,2025-03-14,2025-03-18,4.0,Male,31-40,Bursa,Clothing,20.0,New,1,Sunny
ORD1122,2025-03-20,2025-03-22,2.0,Female,31-40,Bursa,Cosmetics,0.0,Returning,0,Sunny
ORD1123,2025-03-20,2025-03-22,2.0,Female,,Bursa,Home,10.0,Returning,0,Sunny
ORD1124,2025-03-31,2025-04-03,3.0,Female,31-40,Izmir,Books,10.0,New,0,Sunny
ORD1125,2025-03-18,2025-03-24,6.0,Male,18-20,Antalya,Cosmetics,10.0,New,1,Sunny
ORD1126,2025-04-06,2025-04-12,6.0,Male,51-60,Bursa,Home,30.0,Returning,0,Sunny
ORD1127,2025-04-13,2025-04-18,5.0,Male,21-30,Izmir,Home,30.0,Returning,0,Sunny
ORD1128,2025-04-06,2025-04-10,4.0,Female,31-40,Ankara,Electronics,30.0,New,1,Sunny
ORD1129,2025-03-09,2025-03-16,7.0,Male,21-30,Ankara,Books,,Returning,0,Rainy
ORD1130,2025-04-04,2025-04-07,3.0,Female,,Izmir,Electronics,30.0,Returning,0,Sunny
ORD1131,2025-04-11,2025-04-14,3.0,Female,21-30,Izmir,Clothing,30.0,New,0,Sunny
ORD1132,2025-03-28,2025-03-31,3.0,Female,41-50,Antalya,Electronics,20.0,Returning,0,Sunny
ORD1133,2025-04-13,2025-04-19,6.0,Male,21-30,Antalya,Electronics,30.0,Returning,0,Rainy
ORD1134,2025-03-20,2025-03-23,3.0,Female,21-30,Ankara,Cosmetics,10.0,Returning,0,Sunny
ORD1135,2025-04-03,2025-04-06,3.0,Female,21-30,Bursa,Home,20.0,New,0,Sunny
ORD1136,2025-04-10,2025-04-15,5.0,Male,31-40,Ankara,Books,0.0,New,1,Sunny
ORD1137,2025-03-18,2025-03-21,3.0,Female,51-60,Bursa,Electronics,10.0,Returning,0,Sunny
ORD1138,2025-04-06,2025-04-09,3.0,Female,31-40,Bursa,Books,30.0,Returning,1,Sunny
ORD1139,2025-03-12,2025-03-13,1.0,Female,31-40,Antalya,Electronics,0.0,Returning,0,Sunny
ORD1140,2025-03-27,2025-03-29,2.0,Female,41-50,Istanbul,Clothing,20.0,Returning,0,Sunny
ORD1141,2025-04-02,2025-04-06,,Female,31-40,Istanbul,Electronics,30.0,Returning,0,Rainy
ORD1142,2025-03-07,2025-03-10,3.0,Female,21-30,Izmir,Cosmetics,30.0,Returning,0,Rainy
ORD1143,2025-03-11,2025-03-16,5.0,Male,21-30,Antalya,Home,30.0,New,1,Sunny
ORD1144,2025-04-02,2025-04-04,2.0,Female,21-30,,Clothing,20.0,New,0,Sunny
ORD1145,2025-04-02,2025-04-06,4.0,Female,21-30,Istanbul,Electronics,30.0,Returning,0,Rainy
ORD1146,2025-03-25,2025-03-29,4.0,Male,31-40,Bursa,Books,0.0,New,1,Sunny
ORD1147,2025-04-04,2025-04-07,3.0,Female,41-50,Istanbul,Clothing,10.0,Returning,0,Sunny
ORD1148,2025-03-16,2025-03-19,3.0,Female,21-30,,Clothing,30.0,New,0,Sunny
ORD1149,2025-04-02,2025-04-05,3.0,Female,31-40,Istanbul,Electronics,20.0,New,0,Sunny
ORD1150,2025-03-30,2025-04-03,4.0,Female,31-40,Antalya,Clothing,30.0,New,1,Rainy
ORD1151,2025-04-13,2025-04-17,4.0,Female,21-30,Ankara,Books,30.0,Returning,1,Rainy
ORD1152,2025-04-07,2025-04-13,6.0,Male,41-50,Bursa,Clothing,10.0,Returning,0,Sunny
ORD1153,2025-03-06,2025-03-10,4.0,Male,31-40,Antalya,Books,30.0,New,1,Sunny
ORD1154,2025-04-01,2025-04-04,3.0,Female,21-30,Antalya,Electronics,30.0,Returning,0,Sunny
ORD1155,2025-03-18,2025-03-21,3.0,Female,41-50,Antalya,Home,30.0,Returning,0,Sunny
ORD1156,2025-04-15,2025-04-18,3.0,Female,31-40,Antalya,Clothing,10.0,Returning,0,Sunny
ORD1157,2025-03-08,2025-03-13,5.0,Male,31-40,Antalya,Home,30.0,New,1,Sunny
ORD1158,2025-04-13,2025-04-17,4.0,Female,31-40,Izmir,Books,30.0,Returning,0,Rainy
ORD1159,2025-03-11,2025-03-14,3.0,Female,31-40,Bursa,Clothing,20.0,Returning,0,Sunny
ORD1160,2025-03-13,2025-03-16,3.0,Female,41-50,Antalya,Cosmetics,10.0,New,0,Sunny
ORD1161,2025-04-01,2025-04-05,4.0,Female,21-30,Bursa,Home,30.0,New,1,Rainy
ORD1162,2025-03-14,2025-03-20,6.0,Male,21-30,Izmir,Clothing,30.0,Returning,0,Rainy
ORD1163,2025-04-11,2025-04-14,3.0,Female,18-20,Izmir,Home,10.0,Returning,0,Sunny
ORD1164,2025-04-07,2025-04-11,4.0,Male,41-50,Bursa,Clothing,,New,1,Sunny
ORD1165,2025-03-29,2025-04-01,3.0,Female,21-30,Istanbul,Electronics,30.0,Returning,0,Sunny
ORD1166,2025-03-20,2025-03-25,5.0,Male,41-50,Ankara,Home,30.0,Returning,0,Sunny
ORD1167,2025-04-06,2025-04-08,2.0,Female,31-40,Istanbul,Cosmetics,30.0,Returning,0,Sunny
ORD1168,2025-04-06,2025-04-10,4.0,Female,41-50,Istanbul,Cosmetics,30.0,Returning,0,Rainy
ORD1169,2025-03-29,2025-04-03,5.0,Male,51-60,Istanbul,Books,30.0,Returning,0,Sunny
ORD1170,2025-04-15,2025-04-20,5.0,Male,,Antalya,Clothing,30.0,Returning,0,Sunny
ORD1171,2025-03-17,2025-03-22,5.0,Male,41-50,Izmir,Home,20.0,New,1,Sunny
ORD1172,2025-04-13,2025-04-16,3.0,Female,31-40,Istanbul,Books,30.0,New,0,Sunny
ORD1173,2025-03-07,2025-03-12,5.0,Male,31-40,,Home,30.0,Returning,1,Rainy
ORD1174,2025-03-08,2025-03-12,4.0,Female,21-30,,Clothing,30.0,Returning,0,Rainy
ORD1175,2025-04-11,2025-04-16,5.0,Male,21-30,Ankara,Cosmetics,10.0,New,1,Sunny
ORD1176,2025-03-22,2025-03-25,3.0,Female,31-40,Bursa,Electronics,30.0,Returning,0,Sunny
ORD1177,2025-03-07,2025-03-13,6.0,Male,31-40,Bursa,Cosmetics,10.0,Returning,0,Sunny
ORD1178,2025-03-07,2025-03-12,5.0,Male,21-30,Antalya,Books,30.0,Returning,0,Sunny
ORD1179,2025-04-02,2025-04-07,5.0,Male,31-40,Ankara,Electronics,0.0,Returning,0,Sunny
ORD1180,2025-03-28,2025-03-30,2.0,Female,41-50,Bursa,Books,0.0,Returning,1,Sunny
ORD1181,2025-04-11,2025-04-12,1.0,Female,31-40,Bursa,Clothing,0.0,New,0,Sunny
ORD1182,2025-04-06,2025-04-12,6.0,Male,41-50,Ankara,Electronics,30.0,New,1,Sunny
ORD1183,2025-04-07,2025-04-09,2.0,Female,41-50,Ankara,Books,10.0,New,0,Sunny
ORD1184,2025-03-06,2025-03-12,6.0,Male,51-60,Bursa,Clothing,10.0,New,1,Sunny
ORD1185,2025-03-24,2025-03-30,6.0,Male,31-40,Ankara,Cosmetics,30.0,Returning,0,Sunny
ORD1186,2025-03-07,2025-03-09,2.0,Female,41-50,Bursa,Clothing,0.0,Returning,0,Sunny
ORD1187,2025-03-31,2025-04-03,3.0,Male,51-60,Bursa,Home,30.0,New,0,Sunny
ORD1188,2025-04-06,2025-04-11,5.0,Female,51-60,Antalya,Clothing,30.0,Returning,0,Rainy
ORD1189,2025-03-11,2025-03-18,7.0,Male,21-30,Istanbul,Clothing,30.0,New,1,Sunny
ORD1190,2025-04-06,2025-04-11,5.0,Male,31-40,Bursa,Home,30.0,Returning,0,Sunny
ORD1191,2025-03-09,2025-03-12,3.0,Female,21-30,Izmir,Books,30.0,Returning,0,Sunny
ORD1192,2025-03-16,2025-03-18,2.0,Female,18-20,Istanbul,Books,30.0,New,0,Sunny
ORD1193,2025-03-22,2025-03-27,5.0,Male,31-40,Istanbul,Clothing,30.0,Returning,0,Sunny
ORD1194,2025-04-12,2025-04-16,4.0,Female,41-50,Istanbul,Home,30.0,New,1,Sunny
ORD1195,2025-03-29,2025-04-02,4.0,Female,41-50,Antalya,Home,30.0,Returning,0,Rainy
ORD1196,2025-03-10,2025-03-15,5.0,Female,21-30,Bursa,Cosmetics,30.0,Returning,0,Sunny
ORD1197,2025-04-08,2025-04-11,,Female,41-50,Antalya,Books,20.0,New,0,Sunny
ORD1198,2025-03-11,2025-03-12,1.0,Female,31-40,Bursa,Electronics,0.0,Returning,0,Sunny
ORD1199,2025-03-27,2025-03-29,2.0,Female,,Antalya,Books,0.0,New,0,Sunny
